datetime,open,high,low,close,volume,average,barCount,symbol,interval
2023-08-31 00:00:00+00:00,295.8,301.1,295.66,295.89,9837171.0,298.482,50027,META,1d
2023-09-01 00:00:00+00:00,299.21,301.74,294.47,296.38,8439746.0,296.809,42519,META,1d
2023-09-05 00:00:00+00:00,297.02,301.39,295.51,300.15,8158381.0,299.366,38696,META,1d
2023-09-06 00:00:00+00:00,301.71,303.3,295.66,299.17,10151485.0,298.783,50694,META,1d
2023-09-07 00:00:00+00:00,298.01,307.05,292.22,298.67,24785895.0,299.744,125879,META,1d
2023-09-08 00:00:00+00:00,299.22,305.25,296.78,297.89,11013002.0,300.803,55292,META,1d
2023-09-11 00:00:00+00:00,301.15,309.04,301.15,307.56,12820160.0,305.462,69943,META,1d
2023-09-12 00:00:00+00:00,306.58,308.66,300.23,301.66,8321903.0,303.147,49193,META,1d
2023-09-13 00:00:00+00:00,302.51,307.18,301.32,305.06,8301572.0,304.882,48816,META,1d
2023-09-14 00:00:00+00:00,306.74,312.87,305.03,311.72,11849995.0,309.794,63305,META,1d
2023-09-15 00:00:00+00:00,311.37,312.0,298.75,300.31,15400515.0,304.396,68902,META,1d
2023-09-18 00:00:00+00:00,298.39,303.6,297.8,302.55,6899279.0,301.54,38145,META,1d
2023-09-19 00:00:00+00:00,302.45,306.17,299.81,305.07,10854645.0,303.239,54320,META,1d
2023-09-20 00:00:00+00:00,304.81,308.06,299.43,299.67,10722615.0,303.825,55559,META,1d
2023-09-21 00:00:00+00:00,295.41,300.26,293.27,295.73,14191975.0,296.714,72871,META,1d
2023-09-22 00:00:00+00:00,299.3,305.38,298.27,299.08,16647103.0,301.924,85490,META,1d
2023-09-25 00:00:00+00:00,295.51,300.95,293.7,300.83,12022010.0,298.284,62390,META,1d
2023-09-26 00:00:00+00:00,297.66,300.3,296.01,298.96,12628828.0,298.383,75199,META,1d
2023-09-27 00:00:00+00:00,300.3,301.3,286.79,297.74,26450699.0,295.97,138501,META,1d
2023-09-28 00:00:00+00:00,298.88,306.33,296.7,303.96,15278873.0,302.89,76782,META,1d
2023-09-29 00:00:00+00:00,307.38,310.64,299.36,300.21,17000184.0,304.288,87942,META,1d
2023-10-02 00:00:00+00:00,302.55,307.18,301.63,306.82,10824080.0,304.869,58019,META,1d
2023-10-03 00:00:00+00:00,304.26,306.77,299.64,300.94,10936259.0,301.699,58185,META,1d
2023-10-04 00:00:00+00:00,298.73,306.9,298.5,305.58,10985403.0,303.438,56285,META,1d
2023-10-05 00:00:00+00:00,304.63,306.21,299.5,304.79,13382143.0,302.346,70290,META,1d
2023-10-06 00:00:00+00:00,301.44,316.31,300.91,315.43,14415592.0,309.929,77696,META,1d
2023-10-09 00:00:00+00:00,312.21,320.33,311.82,318.36,15700040.0,317.539,76570,META,1d
2023-10-10 00:00:00+00:00,319.12,324.66,318.16,321.84,13060085.0,321.654,62455,META,1d
2023-10-11 00:00:00+00:00,322.81,328.84,322.81,327.82,14828141.0,326.33,75134,META,1d
2023-10-12 00:00:00+00:00,327.77,330.54,322.69,324.16,13259523.0,327.031,66340,META,1d
2023-10-13 00:00:00+00:00,323.53,325.06,312.37,314.69,13546214.0,317.227,72919,META,1d
2023-10-16 00:00:00+00:00,318.36,321.82,315.52,321.15,10005110.0,319.562,54604,META,1d
